id,title,year,description,genres,rating,num_votes,adult
418579,Young Sister-In-Law,2016,"Three men and women start living together. Byeong-soo is chosen in a scenario contest and is picked to write a script for a movie, so he leaves the noisy city and moves in with his married senior from school. At the house is Ji-eun, the senior's wife and a young and sexy Bo-yeong.  The three living together leads to some risky situations!",['Romance'],6.0,2,False
342473,Ballerina,2016,"In 1879 Paris, a young orphan dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.","['Animation', 'Adventure', 'Comedy', 'Family']",7.205,1983,False
303991,Demolition,2016,An emotionally desperate investment banker finds hope through a woman he meets.,"['Comedy', 'Drama']",6.843,2490,False
205584,Gods of Egypt,2016,A common thief joins a mythical god on a quest through Egypt.,"['Action', 'Adventure', 'Fantasy']",5.692,4344,False
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.","['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",6.05,3784,False
1201898,Koku maro oppai: Kakimazerareta watashi,2016,"This woman melts when gently simmered...  Full of volume! A hearty meal...  The purpose of the sponsor was my wife's breasts!?  This work is an erotic drama that depicts a couple who abandon their mother with dementia due to the hardships of life, and a couple whose wife's body kills a sponsor who is manipulated by a mysterious fate.",[],0.0,0,False
316727,The Purge: Election Year,2016,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.","['Action', 'Horror', 'Thriller']",6.383,5492,True
376290,Miss Sloane,2016,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,"['Thriller', 'Drama', 'Crime']",7.408,1975,True
207932,Inferno,2016,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.","['Mystery', 'Thriller', 'Action']",6.09,6622,True
293767,Billy Lynn's Long Halftime Walk,2016,19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad – contrasting the realities of war with America's perceptions.,"['Drama', 'War']",6.034,632,True
310307,The Founder,2016,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.","['Drama', 'History']",7.143,5379,False
223702,Sausage Party,2016,Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they're chosen to leave the grocery store.,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",5.754,7698,False
376570,Hush,2016,A deaf woman is stalked by a psychotic killer in her secluded home.,"['Horror', 'Thriller']",6.731,4829,True
340666,Nocturnal Animals,2016,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.","['Drama', 'Thriller']",7.414,8279,True
346672,Underworld: Blood Wars,2016,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.","['Fantasy', 'Action', 'Thriller', 'Science Fiction', 'Horror']",5.916,3923,True
302699,Central Intelligence,2016,"Calvin Joyner, a mild-mannered accountant whose high school glory days are long behind him, reconnects with an awkward pal from high school through Facebook. After meeting up, Calvin’s mundane life takes an unexpectedly thrilling turn when he's thrust into the world of international espionage.","['Action', 'Comedy']",6.413,6339,False
290595,The Huntsman: Winter's War,2016,"As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.","['Action', 'Adventure', 'Drama']",6.3,5032,False
395000,Young Mother 4,2016,"Woo-jin, who is a repeater of college entrance exam, and Taek-sik's friend, Kang-hee come and visit Woo-jin's hometown on a small island. Woo-jin's mom, Hyeon-sook operates a small sashimi restaurant and a bed and breakfast to make a living on the island. Although Hyeon-sook has sex with Bong-seong, she rejects his proposals. One day, Woo-jin is terribly shocked to accidentally see his mom Hyeon-sook and Bong-seong having sex.",['Romance'],4.5,12,False
346685,The Girl on the Train,2016,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.","['Crime', 'Mystery', 'Thriller']",6.442,6009,True
296524,Deepwater Horizon,2016,"A story set on the offshore drilling rig Deepwater Horizon, which exploded during April 2010 and created the worst oil spill in U.S. history.","['Drama', 'Action']",6.895,4892,False
369885,Allied,2016,"In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","['Action', 'Drama', 'War', 'Romance', 'Thriller']",6.806,4794,True
316727,The Purge: Election Year,2016,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.","['Action', 'Horror', 'Thriller']",6.383,5492,True
334533,Captain Fantastic,2016,"Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.","['Adventure', 'Drama']",7.889,6821,False
